text	label
ତେେବ ଏଭଳି ପରିସ୍ଥିତିରେ ମଧ୍ୟ ୫ ଜଣ ମାଓବାଦୀଙ୍କୁ ଘଟଣାସ୍ଥଳରେ ସୁରକ୍ଷାକର୍ମୀ ହତ୍ୟା କରିବାକୁ ସକ୍ଷମ ହୋଇଥିବା ନେଇ ସେ ଗର୍ବିତ	0
ଅପରାହ୍ଣ ୪ ଟା ସୁଦ୍ଧା ମୃତ ୧୧ ଜଣଙ୍କ ଶବ ଉଦ୍ଧାର କରଯାଇଛି	-1
କିନ୍ତୁ ଏ ପର୍ଯ୍ୟନ୍ତ ବିପିଏଲ କାର୍ଡ କି ଅନ୍ୟ ସୁବିଧା ହୋଇପାରିଲାନାହିଁ	-1
ଅନ୍ୟମାନଙ୍କ ମଧ୍ୟରେ ମିଥୁନ ମାନ୍‍ହସ ୩୨ ରଜତ ଭାଟିଅା ୨୧ ଦିଲସାନ ୧୫ ଏବଂ କାତ୍ର୍ତିକ ୧୯ ରନ କରିଥିଲେ	0
ଜାତୀୟ କ୍ରୀଡ଼ା ଦିବସ ଅବସରରେ ଅଗଷ୍ଟ ୨୯ରେ ଏହି ପୁରସ୍କାର ପ୍ରଦାନ କରାଯିବାର କାର୍ଯ୍ୟକ୍ରମ ରହିଛି	1
ବିଗତ ୧୦ବର୍ଷ ହେଲା ସାରର ଦର ବୃଦ୍ଧି ହୋଇନଥିବାରୁ ଦେଶର ଅର୍ଥୈନତିକ ପରିସ୍ଥିତିର କ୍ରମବଦ୍ର୍ଧିତ ମୁଦ୍ରାସ୍ଫୀତିକୁ ଦୃଷ୍ଟିରେ ରଖି ସରକାର ଏହି ମୂଲ୍ୟ ବୃଦ୍ଧି କରିବାକୁ ଏକପ୍ରକାର ବାଧ୍ୟ ହୋଇଥିବା ସାର ମନ୍ତ୍ରଣାଳୟ ତରଫରୁ ସଫେଇ ଦିଅାଯାଇଛି	0
ଫୁଲବାଣୀ ବୁ୍ୟରୋ ମହୁଲ ମଦଭାଟି ନିମନେ୍ତ ଲାଇସେନ୍ସ ପ୍ରଦାନ ପାଇଁ ବ୍ୟବସ୍ଥା କରିବା ନିମନେ୍ତ ଜଣେ ଅାବେଦନକାରୀଙ୍କଠାରୁ ଲାଞ୍ଚ ନେଲା ବେେଳ ଫୁଲବାଣୀ ଅବକାରୀ ବିଭାଗର ଭାରପ୍ରାପ୍ତ ଅଧିକ୍ଷକ ଭିଜିଲାନ୍ସ ଦ୍ୱାରା ଗିରଫ ହେବା ଘଟଣା ସମଗ୍ର କନ୍ଧମାଳରେ ଅାଲୋଡନ ସୃଷ୍ଟି କରିଛି	-1
ଇଷ୍ଟକୋଷ୍ଟ ରେଳବାଇ ଫୁଟବଲ ଫିଏଷ୍ଟା ଜିତିଲା	1
ପୂର୍ବରୁ ୧୫ ଜଣିଅା ଦଳ ଥିଲେ ହେଁ ଅହମ୍ମଦାବାଦ ମ୍ୟାଚ୍‍ ପାଇଁ ୧୪ ଜଣିଅା ଦଳ ଘୋଷଣା କରାଯାଇଛି	0
୨ ନିପ୍ର ୩ ମାସରୁ ଅଧିକ ହେଲା ଦରମା ପାଇନଥିବା ପ୍ରତିବାଦରେ ଗୋପାଳପୁର ବନ୍ଦର ପରିସରରେ କାର୍ଯ୍ୟରତ ଶ୍ରମିକ ଓ କର୍ମଚାରୀଙ୍କ ହାଜିରା ନେବା ପାଇଁ ଲାଗିଥିବା ଲକ୍ଷାଧିକ ଟଙ୍କାର ମେସିନକୁ କ୍ଷୁବ୍ଧ ଶ୍ରମିକମାନେ ଭାଙ୍ଗି ଦେଇଛନ୍ତି	-1
ଫଳରେ ଦଳ ପ୍ରଥମ ଇନିଂସରେ ୪ ୱିକେଟ ବିନିମୟରେ ୩୨୧ ରନ କରିଛି	0
ବ୍ରାଇନ୍‍ ନରୱେ ୧୩ା୫ ଏଠାରେ ଚାଲିଥିବା ନରୱେ ଚେସ୍‍ ୨୦୧୩ ସୁପର ଟୁଣ୍ର୍ଣାମେଣ୍ଟରେ ବିଶ୍ୱ ଚମ୍ପିଅାନ୍‍ ବିଶ୍ୱନାଥନ୍‍ ଅାନନ୍ଦଙ୍କୁ ପରାସ୍ତକରି ବଡ଼ ବିପର୍ଯ୍ୟୟ ଘଟାଇଛନ୍ତି ଅାମେରିକାର ହିକାରୁ ନାକାମୁରା	-1
ଏପରି ଅଭିଯୋଗ କରିବା ପଛରେ କିଛି ଷଡ଼ଯନ୍ତ୍ର ଥିବା ଭଳି ଲାଗୁଛି	-1
ସେମାନଙ୍କ ମଧ୍ୟରୁ ୩ ଜଣଙ୍କୁ ଗୁଳିକରି ମାଓବାଦୀ ହତ୍ୟା କରିଥିବାବେେଳ ଅନ୍ୟମାନେ ବିସେ୍ଫାରଣରେ ପ୍ରାଣ ହରାଇଥିବା ଜଣେ ବରିଷ୍ଠ ପୁଲିସ ଅଧିକାରୀ କହିଛନ୍ତି	-1
ବୋମାମାଡ ଘଟଣା ସମ୍ପର୍କରେ ପ୍ରଚାରିତ ହୋଇଯିବା ପରେ କଏଦୀ ଓ କର୍ମଚାରୀ ଅାତଙ୍କିତ ହୋଇପଡିଥିଲେ	-1
ରାଞ୍ଚ ପୁଲିସ ସିଲ୍ଲି ଓ ବୋକାରୋରୁ ବହୁ ପରିମାଣରେ ବିସେ୍ଫାରକକୁ ଜବତ କରିଛି	-1
ପରେ ସିକନ୍ଦର ରାଜା ୩୭ ରନ୍‍ କରିଥିଲେ	0
କିଛି ସମୟ ବ୍ୟବଧାନରେ ମିସେଲ ଜନସନଙ୍କ ବଲରେ ମୁରଲୀ ବିଜୟ ସ୍ଲିପ୍‍ ଅଞ୍ଚଳରେ ଏକ କ୍ୟାଚ ଦେଇଥିଲେ ସୁଦ୍ଧା ସନ୍‍ ମାର୍ଶ ଏହାକୁ ହାତଛଡା କରିଥିଲେ	0
ସେଠାରେ ଥିବା ଏକ ଘର ମଧ୍ୟରେ ୭ ଯୁବକ ବିଭିନ୍ନ ମାରଣାସ୍ତ୍ର ସହ ମହଜୁଦ ଥିବା ପୁଲିସ ଜାଣିପାରିଥିଲେ	-1
ଦ୍ୱିତୀୟ ଗୁଳିଟି ନିକଟରେ ଏକ କାନ୍ଥରେ ବାଜିଥିବା ବେେଳ ତୃତୀୟ ଗୁଳିଟି ଶୂନ୍ୟରେ ଫୁଟିଥିଲା	0
ମାତ୍ର ଦୁଇ ଦିନ ପୂର୍ବେ ପଶ୍ଚିମବଙ୍ଗର ହାସିମରା ବାୟୁସେନା ଘାଟିରେ ଗୋଟିଏ ମିଗ୍‍୨୭ ବିମାନ ଦୁର୍ଘଟଣାଗ୍ରସ୍ତ ହୋଇଥିଲା	-1
ସେ ତାଙ୍କ ଏଫଅାଇରରେ ଉଲେ୍ଲଖ କରିଥିଲେ ଯେ ସେ ରହୁଥିବା ରାଜେନ୍ଦ୍ର ବିହାର ଅାପାର୍ଟମେଣ୍ଟ ନିକଟରେ ରାଜା ରାତିରେ ଅଶ୍ଳୀଳ ଭାଷାରେ ଗାଳିଗୁଲଜ କରିବା ସହ ତାଙ୍କ ବାପା ଓ ଭାଇଙ୍କୁ ଫୋନରେ ହତ୍ୟା ଧମକ ଦେଉଛି	-1
