text,sentiment
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ,negative
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ,negative
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।",positive
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।",negative
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।",negative
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ",positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।",negative
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ,negative
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ",positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ",positive
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ",positive
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ",positive
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।",positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ,positive
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।",positive
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ,negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।",positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ",positive
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।",positive
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।",positive
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ,positive
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।",positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।",negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ,positive
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।",negative
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ",positive
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ,positive
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
ସମ୍ବାଦ ପ୍ରତିବେଦନ ଏକପାଖିଆ ଓ ଅପୂର୍ଣ୍ଣ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।",positive
ଚିତ୍ରର ସଂଗୀତ ଓ ଭିଜୁଆଲ୍ ଆନନ୍ଦ ଦେଇଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
ନାଟକର କାହାଣୀ ଅସ୍ପଷ୍ଟ ଏବଂ ଅନ୍ୟଥା ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ",positive
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।",negative
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ",negative
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
"ଏହି ଫିଲ୍ମଟି ଅତ୍ୟନ୍ତ ବୋରିଂ ଥିଲା, କୌଣସି ଭାବନା ନଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।",negative
"ଏକ ଅନ୍ୟରକମ ଅନୁଭବ, ମୋତେ ଆହୁରି ଦେଖିବାକୁ ଇଚ୍ଛା ହେଉଛି। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।",positive
"ଏହି ସିନେମାଟି ଅତ୍ୟନ୍ତ ଭଲ ଥିଲା, ଗଭୀର ଭାବନା ଓ ସୁନ୍ଦର ବାର୍ତ୍ତା ଥିଲା। ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।",positive
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ,negative
ମୋ ଦୃଷ୍ଟିରୁ ଏହି ଫିଲ୍ମ ଦେଖିବା ସମୟର ନଷ୍ଟ ଥିଲା। ଏହା ମୋତେ ନିରାଶ କଲା।,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
"ନାଟକର ଅଭିନୟ ଅପୂର୍ବ ଥିଲା, ଦର୍ଶକଙ୍କୁ ଭାବନାତ୍ମକ ଭାବରେ ଛୁଇଁଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।",positive
ଅଭିନୟ ମଧ୍ୟମମାନ୍ୟ ଏବଂ କଥା ସଂଗଠନ ଦୁର୍ବଳ ଥିଲା। ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
ଏହି ସମ୍ବାଦ ପ୍ରତିବେଦନ ସାରଗର୍ଭିତ ଏବଂ ଆଶାଜନକ ଥିଲା। ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
