text,sentiment
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ,negative
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
موسیقی اور کہانی دونوں متاثر کن تھے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ,positive
موسیقی اور کہانی دونوں متاثر کن تھے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ,negative
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
کہانی کا اختتام بہت مایوس کن تھا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
موسیقی اور کہانی دونوں متاثر کن تھے۔ ,positive
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ,negative
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
موسیقی اور کہانی دونوں متاثر کن تھے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
کہانی کا اختتام بہت مایوس کن تھا۔ ,negative
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
کہانی کا اختتام بہت مایوس کن تھا۔ ,negative
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
موسیقی اور کہانی دونوں متاثر کن تھے۔ ,positive
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ,negative
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
کہانی کا اختتام بہت مایوس کن تھا۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
اداکاری میں کوئی جان نہیں تھی، سب کچھ مصنوعی لگا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
کہانی کا اختتام بہت مایوس کن تھا۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
کہانی کا اختتام بہت مایوس کن تھا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ,negative
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ مضمون جانبدار تھا اور حقائق کو توڑ مروڑ کر پیش کیا گیا۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ମୁଁ ଏହି ଫିଲ୍ମ ପସନ୍ଦ କଲିନି।,negative
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ فلم وقت کا ضیاع تھی، نہ کوئی پیغام نہ ہی تفریح۔ ଏହା ଦେଖିବା ଅନୁଭବ ଖରାପ ଥିଲା।,negative
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ,positive
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହା ବିଶେଷ ଅନୁଭବ ଥିଲା।,positive
یہ فلم جذبات سے بھرپور اور دل کو چھو لینے والی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
موسیقی اور کہانی دونوں متاثر کن تھے۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ଏହା ମୋତେ ନିରାଶ କଲା।,negative
فلم کا پلاٹ کمزور اور بورنگ تھا۔ ,negative
اداکاری شاندار تھی، ہر منظر حقیقت کے قریب تھا۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
میں نے فلم کے بعد خوشی محسوس کی، واقعی ایک اچھی کہانی تھی۔ ଏହି କାହାଣୀ ଆମ ଜୀବନ ସହ ଜଡିତ।,positive
یہ مضمون معاشرے کی مثبت تبدیلی کی اچھی مثال ہے۔ ମୁଁ ଏହାକୁ ପୁନିଥରେ ଦେଖିବି।,positive
